Position,Hand,Hand Type,Recommended Action
UTG+1,AKs,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
MP,A9o,Marginal,Fold (too weak early)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,QQ,Premium,Raise (almost always)
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
MP,AQs,Strong,"Call, fold to large 3-bet"
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG,KK,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
UTG,JJ,Strong,"Call, fold to large 3-bet"
SB,22,Marginal,"Call if folded to, fold to aggression"
CO,AJs,Strong,"Raise, call 3-bet in position"
MP,KK,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
UTG,J4o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
UTG+1,AKs,Premium,Raise (almost always)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
MP,A5s,Speculative,Fold (not profitable OOP)
BB,95o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,J4o,Trash,Fold (unplayable)
MP,KJo,Marginal,Fold (too weak early)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
HJ,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,QQ,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
MP,QQ,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,98s,Speculative,Fold (not profitable OOP)
BB,QQ,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
UTG,KK,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
SB,QQ,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
SB,T3o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
CO,KTs,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,AA,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
MP,AQs,Strong,"Call, fold to large 3-bet"
CO,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,J4o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
HJ,KQs,Strong,"Call, fold to large 3-bet"
BB,QQ,Premium,Raise (almost always)
CO,83o,Trash,Fold (unplayable)
SB,TT,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
BB,83o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
SB,KQs,Strong,"Raise, call 3-bet in position"
MP,87s,Speculative,Fold (not profitable OOP)
MP,A5s,Speculative,Fold (not profitable OOP)
UTG,22,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,AKs,Premium,Raise (almost always)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,95o,Trash,Fold (unplayable)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AA,Premium,Raise (almost always)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,QQ,Premium,Raise (almost always)
BB,98s,Speculative,"Call if no raise, fold to raise"
MP,KK,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
BTN,AA,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG,QQ,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
SB,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,AA,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,98s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,AKs,Premium,Raise (almost always)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
HJ,72o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
UTG,TT,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
MP,J4o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG,A9o,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
UTG+1,A9o,Marginal,Fold (too weak early)
MP,KQs,Strong,"Call, fold to large 3-bet"
CO,AKs,Premium,Raise (almost always)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,A5s,Speculative,Fold (not profitable OOP)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,TT,Strong,"Call, fold to large 3-bet"
CO,A5s,Speculative,Fold (not profitable OOP)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,AKs,Premium,Raise (almost always)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
MP,T3o,Trash,Fold (unplayable)
SB,AQs,Strong,"Raise, call 3-bet in position"
MP,T3o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
MP,AA,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,KK,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,83o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
MP,87s,Speculative,Fold (not profitable OOP)
BTN,72o,Trash,Fold (unplayable)
MP,T9s,Speculative,Fold (not profitable OOP)
CO,AKs,Premium,Raise (almost always)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
SB,95o,Trash,Fold (unplayable)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BB,KK,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
MP,KK,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG,J9s,Marginal,Fold (too weak early)
BB,J4o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,98s,Speculative,Fold (not profitable OOP)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BB,83o,Trash,Fold (unplayable)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,A5s,Speculative,"Call if no raise, fold to raise"
CO,98s,Speculative,Fold (not profitable OOP)
HJ,A5s,Speculative,Fold (not profitable OOP)
MP,QTo,Marginal,Fold (too weak early)
UTG+1,98s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,95o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
MP,JJ,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
MP,AQs,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
MP,J4o,Trash,Fold (unplayable)
UTG+1,KJo,Marginal,Fold (too weak early)
UTG,95o,Trash,Fold (unplayable)
BB,J4o,Trash,Fold (unplayable)
MP,QTo,Marginal,Fold (too weak early)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
CO,AJs,Strong,"Raise, call 3-bet in position"
SB,95o,Trash,Fold (unplayable)
HJ,KTs,Speculative,Fold (not profitable OOP)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,QQ,Premium,Raise (almost always)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BB,95o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
MP,AA,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG,72o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,KK,Premium,Raise (almost always)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,A5s,Speculative,Fold (not profitable OOP)
HJ,A5s,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
UTG,22,Marginal,Fold (too weak early)
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG,AKs,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
CO,J4o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
CO,AKs,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
HJ,AA,Premium,Raise (almost always)
UTG,KQs,Strong,"Call, fold to large 3-bet"
SB,KQs,Strong,"Raise, call 3-bet in position"
SB,95o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,98s,Speculative,Fold (not profitable OOP)
MP,AJs,Strong,"Call, fold to large 3-bet"
SB,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,AA,Premium,Raise (almost always)
SB,AA,Premium,Raise (almost always)
BB,KTs,Speculative,"Call if no raise, fold to raise"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,KK,Premium,Raise (almost always)
UTG+1,95o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,72o,Trash,Fold (unplayable)
CO,AKs,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
MP,AA,Premium,Raise (almost always)
CO,TT,Strong,"Raise, call 3-bet in position"
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,QTo,Marginal,Fold (too weak early)
HJ,95o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,KQs,Strong,"Call, fold to large 3-bet"
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG,83o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
SB,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,QTo,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,QQ,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
UTG,KK,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
MP,A9o,Marginal,Fold (too weak early)
BB,95o,Trash,Fold (unplayable)
SB,QQ,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG,T9s,Speculative,Fold (not profitable OOP)
UTG+1,95o,Trash,Fold (unplayable)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
MP,83o,Trash,Fold (unplayable)
HJ,AA,Premium,Raise (almost always)
HJ,QQ,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
SB,AA,Premium,Raise (almost always)
MP,QQ,Premium,Raise (almost always)
BTN,87s,Speculative,"Call if no raise, fold to raise"
BTN,72o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,KTs,Speculative,"Call if no raise, fold to raise"
MP,JJ,Strong,"Call, fold to large 3-bet"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,KQs,Strong,"Call, fold to large 3-bet"
CO,KK,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,83o,Trash,Fold (unplayable)
UTG+1,QQ,Premium,Raise (almost always)
BB,T3o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
SB,AQs,Strong,"Raise, call 3-bet in position"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,KTs,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
CO,22,Marginal,"Call if folded to, fold to aggression"
SB,95o,Trash,Fold (unplayable)
HJ,95o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
SB,QQ,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
BTN,22,Marginal,"Call if folded to, fold to aggression"
MP,J4o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,KK,Premium,Raise (almost always)
SB,83o,Trash,Fold (unplayable)
MP,A5s,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG,J9s,Marginal,Fold (too weak early)
SB,95o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,AA,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,KJo,Marginal,Fold (too weak early)
BB,72o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
MP,72o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
SB,83o,Trash,Fold (unplayable)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
CO,KK,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,98s,Speculative,Fold (not profitable OOP)
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,AKs,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
BB,KQs,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
HJ,TT,Strong,"Call, fold to large 3-bet"
HJ,AKs,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
UTG+1,22,Marginal,Fold (too weak early)
SB,KTs,Speculative,"Call if no raise, fold to raise"
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG,KQs,Strong,"Call, fold to large 3-bet"
CO,JJ,Strong,"Raise, call 3-bet in position"
CO,AKs,Premium,Raise (almost always)
UTG,AKs,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,QQ,Premium,Raise (almost always)
CO,83o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
CO,98s,Speculative,Fold (not profitable OOP)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
CO,AA,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
MP,AQs,Strong,"Call, fold to large 3-bet"
SB,KTs,Speculative,"Call if no raise, fold to raise"
SB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,JJ,Strong,"Call, fold to large 3-bet"
BTN,T3o,Trash,Fold (unplayable)
HJ,AA,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
MP,AKs,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
UTG,22,Marginal,Fold (too weak early)
UTG+1,AKs,Premium,Raise (almost always)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG,87s,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
CO,TT,Strong,"Raise, call 3-bet in position"
MP,72o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
CO,J4o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
BB,T3o,Trash,Fold (unplayable)
UTG,22,Marginal,Fold (too weak early)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
CO,KQs,Strong,"Raise, call 3-bet in position"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,AKs,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
MP,JJ,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,A5s,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
SB,KK,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,AA,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
BTN,AA,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
MP,AQs,Strong,"Call, fold to large 3-bet"
